Nom de la commune;Code département;Nom de la région;Population totale
Les Ulis;91;Île-de-France;25031
Armentières;59;Hauts-de-France;25373
Le Kremlin-Bicêtre;94;Île-de-France;25422
Libourne;33;Nouvelle-Aquitaine;25491
Eaubonne;95;Île-de-France;25514
Biarritz;64;Nouvelle-Aquitaine;25518
La Garde;83;Provence-Alpes-Côte d'Azur;25645
Saint-Dizier;52;Grand Est;25666
Rodez;12;Occitanie;25747
Béthune;62;Hauts-de-France;25753
Élancourt;78;Île-de-France;25829
Muret;31;Occitanie;25961
Montbéliard;25;Bourgogne-Franche-Comté;26015
Gradignan;33;Nouvelle-Aquitaine;26029
Laon;02;Hauts-de-France;26031
Remire-Montjoly;973;Guyane;26170
Le Grand-Quevilly;76;Normandie;26175
Miramas;13;Provence-Alpes-Côte d'Azur;26217
Sèvremoine;49;Pays de la Loire;26239
Hénin-Beaumont;62;Hauts-de-France;26260
Montfermeil;93;Île-de-France;26262
Lunel;34;Occitanie;26263
Villeparisis;77;Île-de-France;26507
Brunoy;91;Île-de-France;26520
La Teste-de-Buch;33;Nouvelle-Aquitaine;26525
Taverny;95;Île-de-France;26541
Gonesse;95;Île-de-France;26556
Sucy-en-Brie;94;Île-de-France;26575
Orvault;44;Pays de la Loire;26618
Romainville;93;Île-de-France;26640
Sens;89;Bourgogne-Franche-Comté;26688
Brétigny-sur-Orge;91;Île-de-France;26702
Kourou;973;Guyane;26726
Rambouillet;78;Île-de-France;26781
Vallauris;06;Provence-Alpes-Côte d'Azur;26787
Oullins;69;Auvergne-Rhône-Alpes;26838
Saintes;17;Nouvelle-Aquitaine;26890
Limeil-Brévannes;94;Île-de-France;26901
Cavaillon;84;Provence-Alpes-Côte d'Azur;26985
Tournefeuille;31;Occitanie;27008
Le Gosier;971;Guadeloupe;27023
Vierzon;18;Centre-Val de Loire;27036
Sannois;95;Île-de-France;27118
Alençon;61;Normandie;27221
Bussy-Saint-Georges;77;Île-de-France;27299
Illkirch-Graffenstaden;67;Grand Est;27505
Villiers-le-Bel;95;Île-de-France;27519
Fresnes;94;Île-de-France;27556
Saint-Sébastien-sur-Loire;44;Pays de la Loire;27591
Aurillac;15;Auvergne-Rhône-Alpes;27659
Lambersart;59;Hauts-de-France;28027
Bègles;33;Nouvelle-Aquitaine;28092
Agde;34;Occitanie;28120
Vanves;92;Île-de-France;28148
Bergerac;24;Nouvelle-Aquitaine;28166
